# Obtained from SDSS, fits file spec-1922-53315-0582.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
4086.9553,12.330327,1.3621888
4087.8977,12.690379,1.3566383
4088.8381,7.434769,1.2640706
4089.781,5.776409,1.2377008
4090.722,4.091999,1.2496188
4091.6653,4.4738836,1.2527473
4092.6064,8.585539,1.3379272
4093.548,9.493442,1.3549268
4094.492,12.525789,1.3834839
4095.4338,12.981427,1.367333
4096.3784,12.342848,1.3235266
4097.321,13.6503,1.2942226
4098.2656,11.877081,1.261993
4099.2085,13.427592,1.2894075
4100.1514,12.021487,1.2678404
4101.0967,13.966672,1.2853487
4102.04,13.213854,1.3049225
4102.9863,12.536445,1.3172355
4103.93,12.608205,1.2974175
4104.8765,12.862092,1.2955548
4105.821,13.54659,1.2948213
4106.7676,13.604996,1.3006327
4107.7124,11.937794,1.2848625
4108.657,10.904831,1.274657
4109.6045,11.838996,1.2706056
4110.5503,13.159576,1.2708517
4111.498,11.470947,1.2489451
4112.444,14.051446,1.2807888
4113.392,13.599704,1.2742163
4114.3384,13.091875,1.2800332
4115.285,12.21136,1.2954952
4116.234,10.728155,1.3160887
4117.1807,10.965499,1.364363
4118.1304,13.004117,1.3726853
4119.0776,14.651924,1.3578812
4120.0273,13.043975,1.2820886
4120.975,12.317131,1.2444986
4121.9233,13.407213,1.2494451
4122.874,14.114319,1.2781347
4123.8223,12.802131,1.2694147
4124.7734,11.923136,1.2854549
4125.722,11.763288,1.31449
4126.6733,12.7545395,1.3448294
4127.623,14.1036415,1.3813583
4128.5723,14.083673,1.3824377
4129.5244,15.4937725,1.3645489
4130.4746,13.158085,1.2796682
4131.427,9.741956,1.2291197
4132.3774,13.203223,1.2830553
4133.33,13.58936,1.2696235
4134.2812,11.622422,1.2348782
4135.2324,12.720352,1.2775255
4136.1855,12.519005,1.3184792
4137.137,11.275038,1.3254019
4138.0913,12.740806,1.3283744
4139.0435,13.851733,1.3409747
4139.9976,15.402896,1.3936589
4140.95,17.014772,1.4801247
4141.903,11.785331,1.4192263
4142.858,12.660532,1.3309652
4143.811,12.665355,1.2379161
4144.7666,13.195209,1.2016867
4145.72,14.118426,1.2245996
4146.676,13.015292,1.260297
4147.63,12.768013,1.2869538
4148.584,13.608704,1.2821271
4149.5405,11.89119,1.2420095
4150.495,14.226273,1.247192
4151.4526,13.327832,1.2623444
4152.407,14.116112,1.2764328
4153.3647,11.052396,1.2350814
4154.3203,13.263148,1.2262701
4155.2764,15.582514,1.2297597
4156.2344,13.581126,1.2127224
4157.1904,13.09771,1.2058017
4158.149,13.934876,1.2300564
4159.1055,11.514862,1.2496672
4160.065,12.032757,1.2697542
4161.022,15.764678,1.3205923
4161.979,12.286011,1.3326108
4162.939,12.113274,1.4309486
4163.8965,12.309682,1.4720919
4164.8564,12.29317,1.2708269
4165.815,12.544047,1.2811995
4166.7754,12.552082,1.289503
4167.734,13.241525,1.2604611
4168.693,14.006826,1.2427734
4169.654,13.823653,1.2312555
4170.6133,13.520492,1.2524263
4171.575,12.518411,1.2639157
4172.5347,14.586217,1.2592763
4173.497,12.31414,1.190435
4174.457,13.490998,1.1864263
4175.4175,13.572033,1.2166886
4176.38,10.887507,1.2134572
4177.341,10.875288,1.21334
4178.304,10.584029,1.1742651
4179.265,10.794595,1.171753
4180.229,12.788476,1.2138739
4181.191,10.965762,1.2147685
4182.155,12.693104,1.2432022
4183.117,12.487227,1.2677087
4184.0796,11.815146,1.266527
4185.0444,11.199013,1.2134554
4186.007,12.060941,1.1829283
4186.972,9.896836,1.1477058
4187.9355,11.042726,1.125663
4188.9014,13.088978,1.1409726
4189.8647,12.54622,1.1767746
4190.8286,11.371686,1.2323151
4191.795,10.757169,1.2620325
4192.7593,12.007045,1.2519616
4193.726,10.024431,1.2083839
4194.691,13.2183275,1.2237811
4195.658,12.499963,1.1916181
4196.6235,13.205219,1.1950551
4197.589,14.125735,1.1942383
4198.557,11.955376,1.1650326
4199.523,11.411698,1.1268611
4200.491,11.874238,1.123139
4201.4575,11.967062,1.1378168
4202.4263,13.965295,1.1659156
4203.393,13.261837,1.1574955
4204.36,13.256319,1.1738214
4205.3296,12.989113,1.1918342
4206.297,11.707951,1.1974148
4207.267,12.77986,1.217614
4208.235,11.930898,1.1966575
4209.205,12.075265,1.1939602
4210.174,11.291288,1.1727976
4211.142,10.437852,1.1781088
4212.1133,12.069767,1.2010884
4213.082,13.555208,1.2231394
4214.0537,12.5401945,1.1974138
4215.023,12.180532,1.1749902
4215.995,13.026533,1.1646637
4216.965,13.135157,1.1503019
4217.935,13.526817,1.1516825
4218.9077,13.784749,1.1805522
4219.8784,12.96428,1.1825004
4220.8516,11.816566,1.1828419
4221.8223,11.462662,1.1957859
4222.796,12.531136,1.2123516
4223.7676,12.9768095,1.2020942
4224.7393,12.416046,1.1762868
4225.7134,14.16994,1.1950872
4226.6855,10.235368,1.1178671
4227.66,12.536954,1.1294395
4228.633,13.944158,1.166225
4229.608,13.153348,1.2224514
4230.5806,15.342971,1.2571658
4231.554,13.285177,1.360669
4232.53,12.538821,1.3675398
4233.5034,12.689892,1.196489
4234.48,11.4347,1.1901104
4235.454,12.550772,1.1802303
4236.4307,12.606418,1.1444635
4237.4053,11.031269,1.0822568
4238.38,10.906949,1.0788434
4239.3574,10.955877,1.0844706
4240.3325,9.55087,1.0936476
4241.3105,10.41938,1.1385217
4242.286,11.835149,1.1731174
4243.264,11.879662,1.1943609
4244.2407,11.581673,1.2048961
4245.217,12.474144,1.400554
4246.196,13.350988,1.4870423
4247.173,13.070434,1.559235
4248.152,12.985606,1.2860262
4249.1294,10.85097,1.2113537
4250.1094,11.636691,1.1619105
4251.087,12.946215,1.158072
4252.065,11.244527,1.1662985
4253.0454,11.599052,1.1947472
4254.024,10.427544,1.1706438
4255.005,10.917624,1.1404257
4255.9834,11.693834,1.1270566
4256.965,11.660123,1.167964
4257.9443,11.305701,1.2125319
4258.9263,9.646482,1.2217867
4259.906,12.728534,1.2079575
4260.8857,11.957046,1.09799
4261.8687,11.544685,1.0668255
4262.849,14.114412,1.1169949
4263.832,12.174866,1.1179318
4264.813,10.585265,1.11364
4265.7964,12.563654,1.1413064
4266.778,11.6849375,1.1368515
4267.7593,11.120358,1.1446496
4268.743,10.633764,1.1624621
4269.7256,8.267424,1.1656913
4270.71,12.337963,1.1919014
4271.6924,13.706367,1.1803677
4272.6772,10.879651,1.1385586
4273.6606,11.65967,1.168596
4274.6436,11.653638,1.1916007
4275.6294,10.9869175,1.1883575
4276.613,11.089857,1.1501548
4277.599,9.565754,1.1153417
4278.583,10.472948,1.1193967
4279.57,11.502386,1.1199332
4280.554,10.344249,1.1006213
4281.539,10.78496,1.1011739
4282.5264,11.174591,1.1399543
4283.5117,10.090126,1.174435
4284.499,8.968877,1.161003
4285.485,9.627404,1.1437943
4286.473,9.239324,1.1094635
4287.459,9.049885,1.0858873
4288.4453,9.45486,1.0929755
4289.4346,11.103813,1.1130054
4290.4214,11.469561,1.1008743
4291.4106,11.261244,1.0831345
4292.398,10.639945,1.0658486
4293.3877,9.318502,1.0543061
4294.3755,10.402452,1.0772792
4295.3633,9.773834,1.0779046
4296.3535,10.550396,1.0956793
4297.3423,11.404453,1.1145687
4298.333,12.757658,1.1306068
4299.322,12.241204,1.1297722
4300.3135,9.458858,1.0792023
4301.3027,9.96223,1.0644909
4302.292,10.323438,1.0437626
4303.284,10.94673,1.0462332
4304.2744,12.111372,1.0671855
4305.2666,10.905708,1.0800095
4306.2573,11.349057,1.1048799
4307.25,12.255441,1.1469731
4308.241,8.841332,1.0767658
4309.232,9.805961,1.0420753
4310.226,9.097059,0.9789217
4311.2173,11.846793,0.9952553
4312.2114,12.427456,1.0128471
4313.2036,10.954,1.0230325
4314.198,10.929172,1.047234
4315.1904,12.472098,1.0926857
4316.1836,13.037295,1.1212254
4317.1787,12.462895,1.1253601
4318.172,12.616001,1.1447822
4319.1675,11.5479,1.1482991
4320.161,9.063809,1.1187541
4321.157,11.952076,1.1316941
4322.1514,12.623113,1.1478428
4323.146,10.073729,1.1298608
4324.1426,11.80124,1.124056
4325.1377,10.395499,1.0692027
4326.135,11.313768,1.0541835
4327.13,12.264266,1.0577722
4328.128,10.950905,1.0627563
4329.1235,10.931026,1.1103396
4330.1196,11.649747,1.1588378
4331.118,12.140914,1.1587747
4332.1143,11.363533,1.1358272
4333.1133,9.898569,1.0964547
4334.1104,11.934528,1.113817
4335.11,10.392359,1.101318
4336.107,9.848237,1.0939023
4337.107,10.659742,1.0930651
4338.1045,12.339996,1.1110952
4339.1025,12.2236395,1.1162344
4340.103,11.876973,1.127523
4341.1016,11.829728,1.1400886
4342.1025,11.386029,1.1289923
4343.1016,13.302904,1.1289167
4344.103,13.445687,1.1207149
4345.1025,11.177806,1.1367401
4346.102,11.940538,1.125959
4347.104,12.493855,1.1569989
4348.104,10.260353,1.1661325
4349.107,11.491304,1.179174
4350.1074,10.388689,1.1563736
4351.1104,11.940555,1.141645
4352.1113,12.773303,1.1116564
4353.113,11.338779,1.0623959
4354.1167,12.165533,1.0730877
4355.118,12.188828,1.0891367
4356.1226,11.221487,1.1044016
4357.1245,12.995854,1.1624917
4358.1294,11.297304,1.305128
4359.132,12.878367,1.4994353
4360.135,10.9413595,1.4935374
4361.14,11.179718,1.3493706
4362.1436,12.155881,1.2271345
4363.1494,12.075376,1.1747327
4364.153,12.581582,1.1788691
4365.159,12.399303,1.2086565
4366.1636,11.09494,1.2223043
4367.168,10.833947,1.1942164
4368.1753,12.213783,1.1801049
4369.18,14.053741,1.1519504
4370.1875,11.772963,1.1002468
4371.193,11.4907,1.1008793
4372.2007,13.020364,1.1245052
4373.2065,11.060329,1.1009605
4374.213,11.000635,1.0883552
4375.221,11.36849,1.1119747
4376.228,12.225525,1.1379834
4377.237,11.600955,1.1421108
4378.244,12.219355,1.1462374
4379.2534,13.220251,1.1444224
4380.261,11.246559,1.1133028
4381.2686,10.833071,1.1289606
4382.2793,12.085753,1.1653634
4383.287,11.121183,1.1183562
4384.298,11.494504,1.1009688
4385.3066,11.79339,1.0405093
4386.318,12.755599,1.0342855
4387.3267,10.680156,1.0467505
4388.336,11.595116,1.086886
4389.348,12.30147,1.0702415
4390.358,11.617848,1.0635234
4391.37,11.157292,1.0891573
4392.3804,12.435705,1.1285737
4393.3936,12.755052,1.1529064
4394.4043,10.253153,1.1408623
4395.415,11.315319,1.1320566
4396.4287,7.9622564,1.1118746
4397.44,5.341949,1.0974776
4398.454,3.7687163,1.0593181
4399.466,2.120456,1.0630965
4400.4805,3.4176464,1.0532098
4401.4927,6.42071,1.0476162
4402.5054,9.314763,1.0528903
4403.5205,11.121601,1.0469073
4404.5337,11.881646,1.0694739
4405.5493,10.137957,1.0692433
4406.5625,8.454551,1.0580336
4407.5786,9.162244,1.0615429
4408.593,5.653221,0.9770981
4409.607,2.764696,0.9345831
4410.624,1.9011836,0.9278795
4411.6387,4.041152,1.0148779
4412.656,7.7221766,1.0962454
4413.671,9.495601,1.2311971
4414.6885,10.640085,1.3058176
4415.704,11.236999,1.256905
4416.7227,9.493998,1.1590813
4417.739,10.176298,1.107744
4418.755,11.752297,1.0820637
4419.774,11.039849,1.0554283
4420.7905,10.941793,1.0685422
4421.81,11.120601,1.0942193
4422.827,10.992033,1.0833755
4423.847,10.293832,1.0594157
4424.8647,12.105665,1.0584488
4425.883,10.685719,1.03975
4426.9033,14.36733,1.084738
4427.922,11.619955,1.0842509
4428.943,10.356816,1.1060508
4429.962,12.340854,1.1524671
4430.9834,12.319467,1.1638411
4432.0024,11.979614,1.1316311
4433.022,12.866989,1.0969661
4434.0444,12.682813,1.1757528
4435.0645,12.262474,1.1634487
4436.0874,12.818895,1.0390925
4437.108,11.907729,1.0610666
4438.131,10.958561,1.098267
4439.152,12.689539,1.1284288
4440.1733,13.1960535,1.1233995
4441.197,12.608597,1.0922993
4442.2188,12.430895,1.0750475
4443.243,12.451526,1.063487
4444.265,11.034428,1.034624
