# Obtained from SDSS, fits file spec-5881-56038-0872.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
4315.1904,61.53327,1.6587324
4316.1836,58.979603,1.6266509
4317.1787,56.702877,1.5810095
4318.172,52.97655,1.5166382
4319.1675,49.41698,1.4716153
4320.161,50.043987,1.4758748
4321.157,54.6376,1.5463426
4322.1514,56.999302,1.5949742
4323.146,59.453632,1.6367419
4324.1426,62.662052,1.6580274
4325.1377,59.979,1.6298077
4326.135,57.593555,1.58908
4327.13,60.63304,1.631282
4328.128,59.674145,1.6160035
4329.1235,57.87461,1.5972732
4330.1196,60.82679,1.6291808
4331.118,60.539112,1.6294088
4332.1143,58.632107,1.6136376
4333.1133,59.944008,1.6271508
4334.1104,60.204098,1.6182228
4335.11,57.016605,1.5853363
4336.107,59.28819,1.5995125
4337.107,60.182472,1.6260277
4338.1045,58.82485,1.6050801
4339.1025,58.579758,1.5909945
4340.103,58.859676,1.5949395
4341.1016,60.88472,1.623388
4342.1025,57.87276,1.5763415
4343.1016,58.21025,1.593515
4344.103,59.099503,1.5835568
4345.1025,56.59659,1.5719863
4346.102,57.84996,1.5649008
4347.104,55.810566,1.5624406
4348.104,58.241035,1.582752
4349.107,57.393784,1.5772792
4350.1074,55.63606,1.5535016
4351.1104,58.102337,1.5810503
4352.1113,59.381004,1.5990818
4353.113,59.134884,1.5948205
4354.1167,56.003624,1.546768
4355.118,56.143703,1.5559936
4356.1226,58.685215,1.5868212
4357.1245,59.04902,1.6193442
4358.1294,57.636543,1.6715727
4359.132,58.142754,1.7038156
4360.135,59.331448,1.698798
4361.14,58.921486,1.6507506
4362.1436,58.567997,1.6136903
4363.1494,59.371605,1.6015921
4364.153,58.374344,1.5879996
4365.159,57.650166,1.5797981
4366.1636,58.937927,1.5871559
4367.168,58.13255,1.5788313
4368.1753,57.007683,1.5630182
